zReHs href,LC20lb,qLRx3b,ylgVCe,YrbPuc,YrbPuc (2),VwiC3b
https://virtualizationreview.com/articles/2025/02/25/four-free-network-scanners.aspx,Four Free Network Scanners,https://virtualizationreview.com › articles › 2025/02/25,› articles › 2025/02/25,"Feb 25, 2025 —","Feb 25, 2025","With his home network a mess, Tom Fenton explores how to bring some sense of order using readily available, easy-to-use, free tools."
https://virtualizationreview.com/pages/topic-pages/virtualization-platforms.aspx,Virtualization Platforms,https://virtualizationreview.com › pages › topic-pages,› pages › topic-pages,"Aug 26, 2025 —","Aug 26, 2025",Tom Fenton says Day 1 at Broadcom VMware Explore 2025 felt leaner and more engineering-driven. Conversations centered on packaging/licensing tradeoffs and hands ...
https://virtualizationreview.com/articles/2025/03/06/setting-up-ntopng-for-network-visualization-and-monitoring.aspx,Setting Up Open-Source ntopng for Network Visualization ...,https://virtualizationreview.com › articles › 2025/03/06,› articles › 2025/03/06,"Mar 6, 2025 —","Mar 6, 2025","In the third part of a series, Tom Fenton explains how he set up and installed ntopng, along with detailing where it will sit in his home/lab network and ..."
https://virtualizationreview.com/articles/2025/04/14/upgrading-a-windows-10-laptop-to-chromeos-flex.aspx,Upgrading a Windows 10 Laptop to ChromeOS Flex,https://virtualizationreview.com › articles › 2025/04/14,› articles › 2025/04/14,"Apr 14, 2025 —","Apr 14, 2025","Tom Fenton continues his investigation, loading the OS, using Gemini AI, Google Docs, the web-based Microsoft Office 365 and much more."
https://virtualizationreview.com/articles/2025/02/10/creating-vms-on-a-raspberry-pi-5-running-esxi.aspx,Creating VMs on a Raspberry Pi 5 Running ESXi,https://virtualizationreview.com › articles › 2025/02/10,› articles › 2025/02/10,"Feb 10, 2025 —","Feb 10, 2025","Concluding his series, Tom Fenton provides step-by-step instructions for creating a VM from different Linux distributions and discusses issues with running ..."
https://virtualizationreview.com/articles/2025/04/28/hands-on-with-macstadium-remote-desktop.aspx,Hands On with MacStadium Remote Desktop,https://virtualizationreview.com › articles › 2025/04/28,› articles › 2025/04/28,"Apr 28, 2025 —","Apr 28, 2025","Tom Fenton tests MacStadium's remote macOS desktops and finds a smooth, high-performance experience -- despite Apple's virtualization hurdles."
https://virtualizationreview.com/articles/2025/05/13/zabbix-an-open-source-monitoring-solution.aspx,Zabbix: An Open-Source Monitoring Solution,https://virtualizationreview.com › articles › 2025/05/13,› articles › 2025/05/13,"May 13, 2025 —","May 13, 2025","After it catches his eye at VMware Explore, Tom Fenton begins a hands-on exploration of this free and open-source monitoring solution, describing its ..."
https://virtualizationreview.com/articles/2025/01/21/how-useful-is-new-raspberry-pi-500-computer-in-a-keyboard.aspx,How Useful Is New Raspberry Pi 500 'Computer in a ...,https://virtualizationreview.com › articles › 2025/01/21,› articles › 2025/01/21,"Jan 21, 2025 —","Jan 21, 2025","After introducing the new device, Tom Fenton explores the Pi 500's hardware specs more thoroughly and discusses its usefulness as a home and office ..."
https://virtualizationreview.com/articles/2025/06/02/vmware-explore-2025-why-you-need-to-go.aspx,VMware Explore 2025 -- Why You Need to Go,https://virtualizationreview.com › articles › 2025/06/02,› articles › 2025/06/02,"Jun 2, 2025 —","Jun 2, 2025","The VMware Explore site is now live, presenting its reasons for attending the event. Tom Fenton has his own reasons for attending, some of which align with ..."
https://virtualizationreview.com/articles/list/virtualization.aspx,Virtualization Review,https://virtualizationreview.com › articles › list › virtuali...,› articles › list › virtuali...,"Sep 4, 2025 —","Sep 4, 2025",Tom Fenton says Day 1 at Broadcom VMware Explore 2025 felt leaner and more engineering-driven. Conversations centered on packaging/licensing tradeoffs and hands ...
https://virtualizationreview.com/articles/2025/02/18/installing-windows-software-from-the-command-line-using-winget.aspx,Installing Windows Software from the Command Line ...,https://virtualizationreview.com › articles › 2025/02/18,› articles › 2025/02/18,"Feb 18, 2025 —","Feb 18, 2025",Tom Fenton waited 23 years for Linux software installation CLI functionality to come to Windows.
https://virtualizationreview.com/articles/2025/01/02/hands-on-with-open-source-flatcar-os-for-containers.aspx,Hands On with Open-Source Flatcar OS for Containers,https://virtualizationreview.com › articles › 2025/01/02,› articles › 2025/01/02,"Jan 2, 2025 —","Jan 2, 2025","After it catches his attention at KubeCon, where it was accepted by the Cloud Native Computing Foundation as an incubating project, Tom Fenton puts it ..."
https://virtualizationreview.com/articles/2025/03/10/using-ntopng-community-edition-to-analyze-lan-traffic.aspx,Using ntopng Community Edition to Analyze LAN Traffic,https://virtualizationreview.com › articles › 2025/03/10,› articles › 2025/03/10,"Mar 10, 2025 —","Mar 10, 2025","In his final article of a series, Tom Fenton shows how he used ntopng Community edition dashboards to analyze his local LAN network traffic."
https://virtualizationreview.com/articles/2025/01/23/vmware-esxi-8-on-a-raspberry-pi-5.aspx,VMware ESXi 8 on a Raspberry Pi 5,https://virtualizationreview.com › articles › 2025/01/23,› articles › 2025/01/23,"Jan 23, 2025 —","Jan 23, 2025","Tom Fenton, who literally wrote the book about ESXi 7 on a Raspberry Pi 4 hobbyist computer, now tackles ESXi 8 on a Pi 5, the new ""computer in a keyboard."""
https://virtualizationreview.com/articles/2025/02/04/configuring-esxi-8-on-a-raspberry-pi-5.aspx,Configuring ESXi 8 on a Raspberry Pi 5,https://virtualizationreview.com › articles › 2025/02/04,› articles › 2025/02/04,"Feb 4, 2025 —","Feb 4, 2025","In part three of his series, Tom Fenton configures ESXi to use an NTP server for precise time synchronization, enables SSH access, and adds a datastore for ..."
https://virtualizationreview.com/articles/2025/09/04/recap-of-euc-world-amplify-2025.aspx,Recap of EUC World Amplify 2025,https://virtualizationreview.com › articles › 2025/09/04,› articles › 2025/09/04,"Sep 4, 2025 —","Sep 4, 2025","Recap of EUC World Amplify 2025. By Tom Fenton; 09/04/2025. After having a great first couple of days at EUC World's annual conference, Amplify, I was excited ..."
https://virtualizationreview.com/articles/2025/07/10/euc-world-amplify-2025-a-dive-into-the-years-must-attend-euc-event.aspx,EUC World Amplify 2025: A Dive into the Year's Must- ...,https://virtualizationreview.com › articles › 2025/07/10,› articles › 2025/07/10,"Jul 10, 2025 —","Jul 10, 2025","Ever since VMware sold its End User Computing business, VMware has effectively excluded EUC sessions from VMware Explore, its annual conference. says Tom Fenton ..."
https://virtualizationreview.com/home.aspx?Page=8,Home,https://virtualizationreview.com › ...,› ...,"Feb 13, 2025 —","Feb 13, 2025","Tom Fenton walks through the process of installing and using ESXi 8 on the Raspberry Pi 5, providing a hands-on opportunity to explore VMware virtualization ..."
https://virtualizationreview.com/articles/2025/05/08/you-need-a-windows-package-manager.aspx,You Need a Windows Package Manager,https://virtualizationreview.com › articles › 2025/05/08,› articles › 2025/05/08,"May 8, 2025 —","May 8, 2025","If you are not using a package manager on your Windows system to install applications and other software, you should, says Tom Fenton, because downloading, ..."
https://virtualizationreview.com/articles/2025/05/15/installing-zabbix-an-open-source-monitoring-solution.aspx,"Installing Zabbix, an Open-Source Monitoring Solution",https://virtualizationreview.com › articles › 2025/05/15,› articles › 2025/05/15,"May 15, 2025 —","May 15, 2025","... of IT infrastructure, including servers, networks, applications, and cloud services, Tom Fenton walks you through the process of setting up Zabbix server."
https://virtualizationreview.com/articles/2025/01/14/hand-on-with-raspberry-pi-500-a-computer-in-a-keyboard.aspx,"Hands On with Raspberry Pi 500, a Computer in a Keyboard",https://virtualizationreview.com › articles › 2025/01/14,› articles › 2025/01/14,"Jan 14, 2025 —","Jan 14, 2025","The Raspberry Pi 500 integrates a Pi computer into a full-sized keyboard, offering a compact computing platform, says Tom Fenton in his first look."
https://virtualizationreview.com/pages/topic-pages/edge-and-ai.aspx,Edge & AI,https://virtualizationreview.com › pages › topic-pages,› pages › topic-pages,"Sep 15, 2025 —","Sep 15, 2025",Tom Fenton says Day 1 at Broadcom VMware Explore 2025 felt leaner and more engineering-driven. Conversations centered on packaging/licensing tradeoffs and hands ...
https://virtualizationreview.com/pages/topic-pages/cloud-computing.aspx,"Cloud Computing Tutorials, News and More",https://virtualizationreview.com › pages › topic-pages,› pages › topic-pages,"Sep 15, 2025 —","Sep 15, 2025","Tom Fenton spotlights five startups to watch at KubeCon 2025--TestifySec, Chkk, Border0, DevZero, and Syntasso's Kratix--each tackling key challenges in ..."
https://virtualizationreview.com/articles/2025/05/19/monitoring-windows-and-linux-systems-using-open-source-zabbix.aspx,Monitoring Windows and Linux Systems Using Open- ...,https://virtualizationreview.com › articles › 2025/05/19,› articles › 2025/05/19,"May 19, 2025 —","May 19, 2025","... track the performance and availability of IT infrastructure, including servers, networks, applications, and cloud services, Tom Fenton cranks it up."
https://virtualizationreview.com/articles/2025/01/07/installing-flatcar-container-linux-on-vmware-workstation.aspx,Installing Flatcar Container Linux on VMware Workstation,https://virtualizationreview.com › articles › 2025/01/07,› articles › 2025/01/07,"Jan 7, 2025 —","Jan 7, 2025","After it catches his attention at KubeCon, where it was accepted by the Cloud Native Computing Foundation as an incubating project, Tom Fenton tackles ..."
https://virtualizationreview.com/articles/list/archives.aspx?id=599&Page=5,Archives,https://virtualizationreview.com › articles › list › archives,› articles › list › archives,"Jul 16, 2025 —","Jul 16, 2025","Ever since VMware sold its End User Computing business, VMware has effectively excluded EUC sessions from VMware Explore, its annual conference. says Tom Fenton ..."
https://virtualizationreview.com/articles/list/cloud-computing.aspx?Page=3,Cloud Computing,https://virtualizationreview.com › articles › list › cloud-...,› articles › list › cloud-...,"Jul 1, 2025 —","Jul 1, 2025","Tom Fenton has his own reasons for attending, some of which align with ... Tom Fenton looks at EtherInsights, which helps you slash Microsoft 365 ..."
https://virtualizationreview.com/articles/2025/06/18/vmware-cloud-foundation-9-ships.aspx,VMware Cloud Foundation 9 Ships,https://virtualizationreview.com › articles › 2025/06/18,› articles › 2025/06/18,"Jun 18, 2025 —","Jun 18, 2025",VMware Cloud Foundation 9 Ships. By Tom Fenton; 06/18/2025. THE major announcement at VMware Explore last year was VMware Cloud Foundation 9 (VCF 9). The ...
